GNR 1999-004 , 1 , 0.10153421030839249 , 0.10092497150961943 , 0.09883616302361575 , 0.09855270341874367 , 0.002968141484985698 , 0.0026089933303578006
GNR 1999-004 , 2 , 0.10407141067718995 , 0.10250508788634671 , 0.09479996216123998 , 0.09449773636009062 , 0.010158166390445533 , 0.008770439624256832
GNR 1999-007 , A , 0.257101261542806 , 0.25677304172583826 , 0.2511008300662624 , 0.25100176815850395 , 0.007822264403681944 , 0.007522592488105717
GNR 1999-007 , B , 0.0981610193275747 , 0.09807688022022854 , 0.09725307780097003 , 0.09717506824856592 , 0.0009972194299998627 , 0.000990408673698373
GNR 1999-027 , 1 , 0.16259310681621597 , 0.15130310689233561 , 0.10029838775673372 , 0.1002121016265578 , 0.06865174858952283 , 0.056296806796404586
GNR 1999-027 , 4 , 0.13319642167848111 , 0.13311703855329893 , 0.12945743802326148 , 0.12939986532543268 , 0.00424576442544633 , 0.0042207413355414
GNR 1999-027 , 5 , 0.0976952044885393 , 0.0955887742472431 , 0.08462865907913408 , 0.08445992735346108 , 0.014170468725119845 , 0.012066937449200843
GNR 1999-027 , 8 , 0.17695834151458822 , 0.17142401461686463 , 0.11562834795695642 , 0.11519424621558083 , 0.06866497968204277 , 0.062924594932104
GNR 1999-027 , 9 , 0.08969997587033729 , 0.08949289224559387 , 0.08842061045583305 , 0.08821651942411302 , 0.0013926814730113035 , 0.0013891386953759355
GNR 2001-009 , T , 0.11838638042893324 , 0.11452786596823672 , 0.086229205444738 , 0.08598640668893864 , 0.03493254097468057 , 0.030996774466041876
GNR 2001-024 , 1 , 0.11160446041124528 , 0.10647854155643643 , 0.08012058506800235 , 0.08013002597654906 , 0.033992468369961726 , 0.02844768142625731
GNR 2001-025 , 1 , 0.11137834012010595 , 0.10626483784787855 , 0.07990083854526975 , 0.07991333199005612 , 0.03397813398374838 , 0.02844475997434759
GNR 2001-035 , 1 , 0.12626629094018071 , 0.12431812162494793 , 0.11521970994945274 , 0.11507544708695983 , 0.01235911574411408 , 0.010339227435924525
GNR 2001-035 , 2 , 0.07387951377448221 , 0.0738579915741413 , 0.07285708389497392 , 0.07283563532513337 , 0.0010958483349648995 , 0.0010957461792231449
GNR 2001-060 , 1 , 0.12815611869427124 , 0.12566976240822147 , 0.11146081992155499 , 0.11131936197355019 , 0.018607051713468326 , 0.015991115259828215
GNR 2001-060 , 2 , 0.12815693141431594 , 0.12567080541165743 , 0.11146268999105324 , 0.11132123682433126 , 0.018605909114899233 , 0.015990219184068843
GNR 2001-060 , 3 , 0.11967053610138356 , 0.1177929633244903 , 0.10593843177404672 , 0.10579564613136161 , 0.015217577034227214 , 0.013293070789047401
GNR 2001-061 , 1 , 0.10980196952694143 , 0.10951858645301082 , 0.10502579769716835 , 0.1049640783279322 , 0.005287658901614201 , 0.00504193282443266
GNR 2001-061 , 3 , 0.1159852846173649 , 0.11422649598499535 , 0.10398705054071145 , 0.10377333951092693 , 0.013269471642910813 , 0.01155807755038396
GNR 2002-013 , 1 , 0.10259563207363809 , 0.10249950184705525 , 0.10172278893747932 , 0.10162864468354427 , 0.0009630416563594091 , 0.0009607581418734634
GNR 2002-013 , 2 , 0.12511837989537444 , 0.12297701942706363 , 0.11435444506477443 , 0.11421395292765535 , 0.012032076226017097 , 0.009793949983464834
GNR 2002-013 , 3 , 0.22880604510660885 , 0.22861598570328545 , 0.22743687840674787 , 0.22726672390696712 , 0.001734566796291026 , 0.0017090042238233627
GNR 2002-015 , 2 , 0.08518760787205304 , 0.08514694532004952 , 0.08471045688694911 , 0.08466973085465423 , 0.0005174812619226365 , 0.0005175289988142984
GNR 2002-015 , 4 , 0.1923727159866805 , 0.19194701626811683 , 0.18943998931770667 , 0.18935514610382598 , 0.003555475506321515 , 0.0031419278969818665
GNR 2002-032 , 2 , 0.13545847246345843 , 0.13163145601039483 , 0.11409026616215956 , 0.11389980984782688 , 0.02388047899857726 , 0.019812077824659546
GNR 2002-032 , 3 , 0.11866441621336321 , 0.11817572704277646 , 0.11371910591607493 , 0.11359959755843929 , 0.005524134558817617 , 0.005111101230958481
GNR 2002-032 , 4 , 0.11961337658824611 , 0.11932737276870653 , 0.1144928203326816 , 0.11434413694408674 , 0.005724479762354906 , 0.005570102072664507
GNR 2002-039 , 1 , 0.12252734598473825 , 0.12138550683509186 , 0.11368885753982083 , 0.11354835705472621 , 0.009872881147669266 , 0.00875303494219315
GNR 2002-039 , 2 , 0.11958177068495845 , 0.119050584490772 , 0.11197156731148372 , 0.1118350672490509 , 0.008485715768918878 , 0.008044473010656472
GNR 2002-042 , 1 , 0.15024992853019992 , 0.1432507468847547 , 0.11406278762944744 , 0.11383183920728179 , 0.040443721912171826 , 0.03287030769753274
GNR 2002-042 , 2 , 0.12736711586495897 , 0.12256315053662348 , 0.09892224210082368 , 0.09875051392110534 , 0.03129874096281582 , 0.026196625517854844
GNR 2002-042 , 3 , 0.12107108940352751 , 0.12046434196121092 , 0.11342551200255047 , 0.11329674710028625 , 0.008537981005024564 , 0.008003121848399908
GNR 2002-042 , 4B , 0.18257106447157423 , 0.18257106447157423 , 0.1804302028900744 , 0.1804302028900744 , 0.0025692716848677577 , 0.0025692716848677577
GNR 2002-042 , 5 , 0.06623158250257533 , 0.06623158250257533 , 0.0652994388167526 , 0.0652994388167526 , 0.0009916707758924614 , 0.0009916707758924614
GNR 2002-042 , 6 , 0.10632769871212322 , 0.10582589686597066 , 0.10085159631741292 , 0.10073704322893262 , 0.0060367544810639995 , 0.005609193534543033
GNR 2002-046 , 1 , 0.11963581707946724 , 0.1191367295672705 , 0.11316159397527215 , 0.11303551536920953 , 0.007227887508259312 , 0.006810555663257611
GNR 2002-049 , 1 , 0.1636475463843512 , 0.15464328897054647 , 0.11335804319114962 , 0.1130631013844774 , 0.05616810441953002 , 0.046424357194885246
GNR 2002-049 , 2 , 0.1309894968843065 , 0.12811417482077792 , 0.11544886684981293 , 0.11537147629859434 , 0.017391687388018884 , 0.014259134842232846
GNR 2002-051 , 1A , 0.13606634788467986 , 0.12971806281046017 , 0.10411881556448754 , 0.10389953626853454 , 0.03534055459877683 , 0.028553359894889274
GNR 2002-051 , 2 , 0.12191487149670055 , 0.1209705124131335 , 0.11387379270165587 , 0.11375859404346456 , 0.008983830191258035 , 0.008056462124007346
GNR 2002-052 , 1 , 0.12361149791009518 , 0.12120567064731691 , 0.10811369668300486 , 0.10797941051362858 , 0.017212848509511214 , 0.014687736615420333
GNR 2002-052 , 2 , 0.15971606073164168 , 0.15012410308485347 , 0.10984461145785407 , 0.10957233549705858 , 0.05549895968083196 , 0.04511279671036694
GNR 2002-054 , 1 , 0.11490792096309332 , 0.11421637536924956 , 0.10974707434436293 , 0.10963696899073228 , 0.0057413163105329845 , 0.00509388578888792
GNR 2002-054 , 2 , 0.1463936047992468 , 0.1397217505481394 , 0.1195737953177336 , 0.11945415455938857 , 0.030145225278357057 , 0.022776919364352777
GNR 2002-055 , 1 , 0.11411123735006479 , 0.1126840815649307 , 0.10518650598002854 , 0.10499857944393376 , 0.009882315326641189 , 0.008508433515596048
GNR 2002-059 , 1 , 0.1295046076718097 , 0.12782231182172643 , 0.11603925721355624 , 0.11589749138135097 , 0.015078284837094613 , 0.013351149672233276
GNR 2002-060 , 1 , 0.10946224861103149 , 0.10890683343262098 , 0.10505817103547344 , 0.10483649605190792 , 0.004875869669163424 , 0.004505346869492444
GNR 2002-060 , 2 , 0.16666004349286556 , 0.16653764096215573 , 0.16395652151023243 , 0.16386910570533442 , 0.0031858818005628953 , 0.0031443504632024943
GNR 2002-060 , 3 , 0.1494622115895452 , 0.14214898835397982 , 0.12043083796987941 , 0.12031541729345752 , 0.032660599670447654 , 0.024559037842347586
GNR 2002-060 , 6 , 0.121753866351211 , 0.12019689611610929 , 0.11135589259596401 , 0.11122514556308494 , 0.011587001746288683 , 0.009996265830513718
GNR 2002-063 , 1 , 0.14022655121547856 , 0.1359774232455121 , 0.11983537839528213 , 0.11971220308000718 , 0.022924920089869016 , 0.018283519111237156
GNR 2002-063 , 2 , 0.0973783628627567 , 0.09729276894448435 , 0.09519415453505942 , 0.09511779402826448 , 0.0023939896578616393 , 0.0023836849097581547
GNR 2002-063 , 3 , 0.09260043970018261 , 0.09253021683610552 , 0.09132729218553326 , 0.09126048063918268 , 0.0013899763711391344 , 0.0013861585671791632
GNR 2002-065 , 1 , 0.11720526657795738 , 0.11529229533859553 , 0.10499934476344808 , 0.10486389095597282 , 0.013513181599241642 , 0.011543591319455149
GNR 2002-065 , 2 , 0.20006116387310513 , 0.19991037019767244 , 0.1993271460788657 , 0.19917908845154353 , 0.000899931443836155 , 0.0008964249716260086
GNR 2002-065 , 3 , 0.14280100898057757 , 0.1383648880452356 , 0.12107851349035803 , 0.12095456108918323 , 0.024453549681031417 , 0.01959622022897023
GNR 2002-067 , 2 , 0.12566826087918914 , 0.12555921618552668 , 0.12424636871230388 , 0.12413762807012196 , 0.0016057826678090859 , 0.0016052565667420415
GNR 2002-067 , 3 , 0.1434659190140637 , 0.13855900812640387 , 0.12013754558002043 , 0.12000776997142937 , 0.02623578762777734 , 0.02085989460805804
GNR 2002-069 , 1 , 0.12245065769403063 , 0.12157692093392058 , 0.11747977775178153 , 0.11733071993753952 , 0.005574389404152447 , 0.004760972011416786
GNR 2002-069 , 3 , 0.1407611142431362 , 0.13728641014234666 , 0.11762747867039403 , 0.11744730444353635 , 0.025948817557186588 , 0.022248798270116388
GNR 2002-070 , 1 , 0.12889516035823745 , 0.12752993649867472 , 0.1214568824485992 , 0.12132502759041641 , 0.008376084564156283 , 0.006986204318070288
GNR 2002-070 , 2 , 0.1218551021643719 , 0.12095619510999411 , 0.11080332796561143 , 0.11071846903848626 , 0.01230858689760339 , 0.01140091996829351
GNR 2002-070 , 3 , 0.22845894846823145 , 0.22839182063289232 , 0.22760318096980192 , 0.22753719546700846 , 0.001084359733424689 , 0.0010828274446884611
GNR 2002-070 , 4 , 0.22977132239527398 , 0.22964948948412423 , 0.2282861517868493 , 0.22820723683121746 , 0.0018834305029696852 , 0.0018288313247317722
GNR 2002-070 , 6 , 0.14125248684791647 , 0.13723167017350058 , 0.1190444819808889 , 0.11889838754686932 , 0.024947188253526487 , 0.02059097259192111
GNR 2002-071 , 1 , 0.13750941413845352 , 0.13523581298815546 , 0.11290168965141434 , 0.11283001474784904 , 0.027467518401751212 , 0.025007552148721857
GNR 2002-071 , 2 , 0.13862322194940324 , 0.13512272741745934 , 0.11768725409116576 , 0.11752627929514925 , 0.023484887696730405 , 0.01973512215180051
GNR 2002-072 , 1 , 0.13936592051943353 , 0.13587059106615895 , 0.11686126975015299 , 0.11668569660782413 , 0.02522310246808912 , 0.021498025806787613
GNR 2002-072 , 2 , 0.1399657333270785 , 0.1362736581441698 , 0.11749427278739288 , 0.11732742160125831 , 0.02520247761992156 , 0.021244727998673496
GNR 2002-075 , 1 , 0.12881663067760418 , 0.12629699522387705 , 0.11225254460042666 , 0.11208757545059556 , 0.01847590617884387 , 0.01584657124753941
GNR 2002-075 , 2 , 0.13381285115178787 , 0.13094432087673058 , 0.11724850921712937 , 0.11710556887228307 , 0.018572105698555497 , 0.015513612763546125
GNR 2002-075 , 4 , 0.1422856580977122 , 0.13869899050710832 , 0.12244988584875371 , 0.12226721925371475 , 0.022361398394406873 , 0.018520077894190412
GNR 2002-077 , 1 , 0.12998086952738863 , 0.1269602477955568 , 0.11211461010511825 , 0.11195450038516797 , 0.019925669396354206 , 0.016732416572969866
GNR 2002-077 , 2 , 0.16474624041578 , 0.16223197053612137 , 0.14865805366969265 , 0.1483455679413913 , 0.01864785404381475 , 0.01609008565313297
GNR 2002-078 , 1 , 0.12849572272960852 , 0.1261364289849517 , 0.11344768917152515 , 0.11329150029565127 , 0.016805496896719285 , 0.01434260809503074
GNR 2002-078 , 2 , 0.14207766424195933 , 0.13768740351813558 , 0.12047003950787527 , 0.12033939524933124 , 0.024308777108144053 , 0.019513541417936042
GNR 2002-078 , 3 , 0.11588894688768492 , 0.11577309572387384 , 0.11502071617000731 , 0.11490749571664705 , 0.0009711398606684352 , 0.0009680837895479355
GNR 2002-080 , 1 , 0.12291823298684312 , 0.12115465630817868 , 0.11237412536378943 , 0.112267012292522 , 0.011762216782887802 , 0.009913208471132529
GNR 2002-080 , 2 , 0.13186246083513065 , 0.12884720188799115 , 0.11394364468356943 , 0.11378787042596905 , 0.02002213675493736 , 0.016824037682587334
GNR 2002-087 , 1 , 0.14889117208156155 , 0.1444003220122605 , 0.12668784281247802 , 0.12647094937374848 , 0.02514220648457377 , 0.020297395192744316
GNR 2002-088 , 1 , 0.13058304594397063 , 0.12923100987440406 , 0.12035837024017626 , 0.12024651843128509 , 0.011500779600825517 , 0.01010456422669781
GNR 2002-088 , 3 , 0.13686699995435303 , 0.13440902501373442 , 0.12244866566019974 , 0.12230052887597498 , 0.016253649438746076 , 0.01364749771846363
GNR 2002-088 , 4 , 0.15460763417756518 , 0.15341878811005993 , 0.13592342746368313 , 0.1358043715947086 , 0.021364248173159517 , 0.020138322081631133
GNR 2002-089 , 1 , 0.13058304594397063 , 0.12923100987440406 , 0.12035837024017626 , 0.12024651843128509 , 0.011500779600825517 , 0.01010456422669781
GNR 2002-092 , 1 , 0.12849422330841032 , 0.12726117724511177 , 0.11830857668980532 , 0.1182064027199724 , 0.011432445583774209 , 0.010162003478609849
GNR 2002-092 , 2 , 0.10965546578673613 , 0.1083027703264603 , 0.10147211827600466 , 0.1011833921288613 , 0.009026995203376353 , 0.007850986437669238
GNR 2002-092 , 3 , 0.13997408361607488 , 0.1395742184573423 , 0.1324789290125704 , 0.1322772383255093 , 0.008538420580301187 , 0.008310879613700584
GNR 2002-093 , 1 , 0.13196896728432717 , 0.12916471013383934 , 0.11604642528995246 , 0.11593367943363386 , 0.01783017652982477 , 0.014814255646737773
GNR 2003-002 , 1 , 0.1357966064213013 , 0.13391490257559868 , 0.12168934755472649 , 0.12159082240866181 , 0.01589033611520474 , 0.013880205121433398
GNR 2003-002 , 2 , 0.16956602742809757 , 0.169184513942636 , 0.15932281832856654 , 0.15907145987575277 , 0.012010493753217832 , 0.011854619625985108
GNR 2003-003 , 1 , 0.1357895078360487 , 0.1339079575444747 , 0.12168330636894464 , 0.12158478937517647 , 0.015889044715108103 , 0.013879090459598675
GNR 2003-003 , 2 , 0.11989136425599256 , 0.11976026421096941 , 0.11604341398505114 , 0.1159129386952571 , 0.00430867067781282 , 0.0043073881869144515
GNR 2003-004 , 1 , 0.14623832247118074 , 0.14572291810387772 , 0.13805554390309993 , 0.13787954645119027 , 0.009377090826695689 , 0.008986443181982384
GNR 2003-004 , 2 , 0.1357966064213013 , 0.13391490257559868 , 0.12168934755472649 , 0.12159082240866181 , 0.01589033611520474 , 0.013880205121433398
