"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-06-30","'3132DWAW3'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"35997289260.75",,,,,,""
"2021-06-30","'31418DV74'","MBS","UMBS MORTPASS 2% 01/51","30yr",,,,,"33473917852.09",,,,,,""
"2021-06-30","'3140J8GV9'","MBS","UMBS MORTPASS 3% 07/47","30yr",,,,,"29965816708.53",,,,,,"Y"
"2021-06-30","'3132DWAN3'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"29472825615.16",,,,,,""
"2021-06-30","'3132DWBP7'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"29186571304.74",,,,,,""
"2021-06-30","'31418DWR9'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"27553170771.34",,,,,,""
"2021-06-30","'31418DYX4'","MBS","UMBS MORTPASS 2% 05/51","30yr",,,,,"27126546591.96",,,,,,""
"2021-06-30","'3132DWBB8'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"25939308314",,,,,,""
"2021-06-30","'3132DWA52'","MBS","UMBS MORTPASS 2% 02/51","30yr",,,,,"25801399447.14",,,,,,""
"2021-06-30","'31418DQH8'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"23065001631.6",,,,,,""
"2021-06-30","'3132DWAF0'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"22705150585.71",,,,,,""
"2021-06-30","'31418DVA7'","MBS","UMBS MORTPASS 2% 12/50","30yr",,,,,"21891343806.21",,,,,,""
"2021-06-30","'31335BPS9'","MBS","FHLMCGLD 3% 02/47","30yr",,,,,"21364023909.59",,,,,,"Y"
"2021-06-30","'36179VTW0'","MBS","GNMA II 2.5% 09/50","30yr",,,,,"21059620477.13",,,,,,""
"2021-06-30","'3132DV7K5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20968074900.86",,,,,,""
"2021-06-30","'3132DWBH5'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"20653189970.06",,,,,,""
"2021-06-30","'31418DTQ5'","MBS","UMBS MORTPASS 2% 10/50","30yr",,,,,"20601308656.11",,,,,,""
"2021-06-30","'31418DZV7'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"20534018506.3",,,,,,""
"2021-06-30","'36179V7D6'","MBS","GNMA II MORTPASS 2% 02/51","30yr",,,,,"18113125518.84",,,,,,""
"2021-06-30","'3138EQK35'","MBS","UMBS MORTPASS 3% 08/43","30yr",,,,,"17958678343.9",,,,,,"Y"
"2021-06-30","'36179VSG6'","MBS","GNMA II 2.5% 08/50","30yr",,,,,"17870538482.4",,,,,,""
"2021-06-30","'31418DQ88'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"17851601393.22",,,,,,""
"2021-06-30","'3138EQKR2'","MBS","UMBS MORTPASS 3% 07/43","30yr",,,,,"17361446916",,,,,,"Y"
"2021-06-30","'36179WDQ8'","MBS","GNMA II MORTPASS 2% 04/51","30yr",,,,,"17115703198.65",,,,,,""
"2021-06-30","'36179VZQ6'","MBS","GNMA II MORTPASS 2% 12/50","30yr",,,,,"16862773200.83",,,,,,""
"2021-06-30","'36179WBX5'","MBS","GNMA II MORTPASS 2% 03/51","30yr",,,,,"16671318672.98",,,,,,""
"2021-06-30","'3132DV6U4'","MBS","UMBS MORTPASS 2.5% 08/50","30yr",,,,,"16644763050.66",,,,,,""
"2021-06-30","'31418DPD8'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"16571222214.21",,,,,,""
"2021-06-30","'36179V4U1'","MBS","GNMA II MORTPASS 2% 01/51","30yr",,,,,"16066394298.31",,,,,,""
"2021-06-30","'31418DZW5'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"16014280269.05",,,,,,""
"2021-06-30","'31418DYB2'","MBS","UMBS MORTPASS 2% 04/51","30yr",,,,,"15838392045.77",,,,,,""
"2021-06-30","'3132DV7A7'","MBS","UMBS MORTPASS 2.5% 07/50","30yr",,,,,"15735430905.93",,,,,,""
"2021-06-30","'3138ETKF2'","MBS","UMBS MORTPASS 3% 02/44","30yr",,,,,"15645600363.43",,,,,,"Y"
"2021-06-30","'3132DV5W1'","MBS","UMBS MORTPASS 2.5% 05/50","30yr",,,,,"15644727185.62",,,,,,""
"2021-06-30","'3132DWBU6'","MBS","UMBS MORTPASS 2.5% 06/51","30yr",,,,,"15505016797.09",,,,,,""
"2021-06-30","'36179VMC1'","MBS","GNMA II 2.5% 05/50","30yr",,,,,"15496509705.58",,,,,,""
"2021-06-30","'31418DXK3'","MBS","UMBS MORTPASS 2% 03/51","30yr",,,,,"13935794985.07",,,,,,""
"2021-06-30","'31418D2L5'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"13754556701",,,,,,""
"2021-06-30","'31418DSJ2'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"13390065231.51",,,,,,""
"2021-06-30","'36179VXX3'","MBS","GNMA II MORTPASS 2% 11/50","30yr",,,,,"13104103574.66",,,,,,""
"2021-06-30","'36179VQS2'","MBS","GNMA II 2.5% 07/50","30yr",,,,,"13024043901.55",,,,,,""
"2021-06-30","'3132DV6C4'","MBS","UMBS MORTPASS 2.5% 06/50","30yr",,,,,"12634084579.18",,,,,,""
"2021-06-30","'31335BKR6'","MBS","FHLMCGLD 3.5% 06/46","30yr",,,,,"12287834515.2",,,,,,"Y"
"2021-06-30","'36179VN22'","MBS","GNMA II 2.5% 06/50","30yr",,,,,"12170984327.35",,,,,,""
"2021-06-30","'36179VZR4'","MBS","GNMA II 2.5% 12/50","30yr",,,,,"11773798792.13",,,,,,""
"2021-06-30","'3132DWBT9'","MBS","UMBS MORTPASS 2% 06/51","30yr",,,,,"11731107866",,,,,,""
"2021-06-30","'3132DWBZ5'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"11299352275",,,,,,""
"2021-06-30","'31335ASW9'","MBS","FHLMCGLD 3% 10/44","30yr",,,,,"11204271920.45",,,,,,"Y"
"2021-06-30","'36179VVY3'","MBS","GNMA II 2.5% 10/50","30yr",,,,,"10926698002.15",,,,,,""
"2021-06-30","'31335AST6'","MBS","FHLMCGLD 3% 03/43","30yr",,,,,"10803458697.65",,,,,,"Y"
"2021-06-30","'3132DWBA0'","MBS","UMBS MORTPASS 1.5% 03/51","30yr",,,,,"10630179868.02",,,,,,""
"2021-06-30","'3132DWBG7'","MBS","UMBS MORTPASS 1.5% 04/51","30yr",,,,,"10428083864.19",,,,,,""
"2021-06-30","'3140J8GW7'","MBS","UMBS MORTPASS 3.5% 10/47","30yr",,,,,"10204561044.76",,,,,,"Y"
"2021-06-30","'3132DV7C3'","MBS","UMBS MORTPASS 2.5% 09/50","30yr",,,,,"9686995172.2",,,,,,""
"2021-06-30","'31418DSH6'","MBS","UMBS MORTPASS 2% 09/50","30yr",,,,,"9529960790.53",,,,,,""
"2021-06-30","'31418DUG5'","MBS","UMBS MORTPASS 2% 11/50","30yr",,,,,"9411377688.76",,,,,,""
"2021-06-30","'36179VXY1'","MBS","GNMA II 2.5% 11/50","30yr",,,,,"9396746295.09",,,,,,""
"2021-06-30","'31335BQW9'","MBS","FHLMCGLD 3.5% 09/47","30yr",,,,,"9368848151.12",,,,,,"Y"
"2021-06-30","'36179VKL3'","MBS","GNMA II MORTPASS 3% 04/50","30yr",,,,,"9185662502.72",,,,,,""
"2021-06-30","'3132DV7B5'","MBS","UMBS MORTPASS 2% 09/50","30yr",,,,,"8935044926.3",,,,,,""
"2021-06-30","'36179V4V9'","MBS","GNMA II 2.5% 01/51","30yr",,,,,"8781459068.87",,,,,,""
"2021-06-30","'31418D2M3'","MBS","UMBS MORTPASS 2.5% 07/51","30yr",,,,,"8445176905",,,,,,""
"2021-06-30","'36179VKK5'","MBS","GNMA II 2.5% 04/50","30yr",,,,,"8352161080.62",,,,,,""
"2021-06-30","'3132DWBY8'","MBS","UMBS MORTPASS 2% 07/51","30yr",,,,,"8312584918",,,,,,""
"2021-06-30","'3140J8BU6'","MBS","UMBS MORTPASS 3.5% 12/46","30yr",,,,,"8193752203.03",,,,,,"Y"
"2021-06-30","'31335ASX7'","MBS","FHLMCGLD 3% 08/43","30yr",,,,,"8071280395.9",,,,,,"Y"
