cusip,eligible,indicatorisx,indicatorism
36241LGU4,t,t,f
36225ACD0,t,t,f
3622A2AX0,t,t,f
36225AV23,t,t,f
3622A2Z96,t,t,f
36241LPN0,t,t,f
3622AAAQ7,t,t,f
36241KTK4,t,t,f
36241LP34,t,t,f
3622A26P2,f,f,f
36241LK70,f,t,f
36241LJK3,t,t,f
36241K2F4,t,t,f
36241KA65,t,t,f
3622A3BS8,f,f,f
36225ATG5,t,t,f
3622ABBJ0,f,f,f
36241K5Z7,f,t,f
3622AA4P6,f,f,f
3622A2RS3,f,t,f
36241KCK2,t,t,f
3622AAQG2,f,f,f
36225BUY2,t,t,f
36241LUE4,t,t,f
36241LS23,t,t,f
36241LGD2,t,t,f
3622AAV84,f,f,f
36241LGV2,t,t,f
36225BXT0,t,t,f
36241KQU5,t,t,f
36225BYP7,t,t,f
36241LBV7,t,t,f
36241K3B2,f,t,f
36225BGW2,t,t,f
36225BE95,t,t,f
3622A2HY1,f,t,f
3622AAE91,t,t,f
36225AVA5,t,t,f
36225BTU2,t,t,f
36241KND6,f,t,f
36241L2A3,t,f,t
36225BLU0,t,t,f
36241LKJ4,t,t,f
36225A4P2,t,t,f
3622A2X23,t,t,f
3622A2RA2,t,t,f
36225A4M9,t,t,f
36241KJP4,t,t,f
3622A2FK3,t,t,f
36241KDH8,t,t,f
36241KC48,t,t,f
36225BBQ0,t,t,f
36241L4E3,t,f,t
3622A2MS8,f,f,t
36241KX29,t,t,f
3622A2Y97,t,f,t
3622A2P22,t,t,f
3622AACL6,f,f,f
36225BGE2,t,t,f
36241KY51,t,t,f
36241KU48,t,t,f
3622AACM4,f,f,t
36241LUF1,t,t,f
36225BM47,t,t,f
3622AABS2,f,f,f
3622A2VT6,t,t,f
3622A2M41,t,t,f
36241KVY1,t,f,t
3622AAZU1,f,f,f
3622AADY7,f,f,f
36241KHH4,t,t,f
36225BWT1,t,t,f
36225BS90,t,t,f
3622AAQA5,f,f,f
3622AAV68,f,f,f
36241K7C6,t,t,f
3622AAP81,t,t,f
3622A2SS2,f,f,f
3622AACJ1,f,f,f
36241KHE1,t,t,f
36241LMZ6,t,t,f
3622AATZ7,f,f,f
36225BZG6,t,f,t
3622A2A44,f,t,f
36225ANF3,t,t,f
3622AAFD1,f,f,f
3622A2M66,t,t,f
36241KW46,t,t,f
36241LP75,f,t,f
36225BKC1,t,t,f
3622A2U26,f,f,f
36225BNQ7,t,t,f
3622A2KE1,t,t,f
36225B5G9,t,t,f
3622AAL77,f,f,f
36241LCB0,t,t,f
3622A2Z70,t,t,f
36241L7C4,t,f,t
3622AA2Q6,f,f,f
3622AA3F9,f,f,f
3622AADL5,f,f,t
36225B4T2,t,t,f
3622A2SQ6,f,f,f
36241KUV8,f,t,f
36241LC53,t,t,f
3622AA3S1,t,t,f
36241KKG2,t,f,t
3622AAKP8,f,f,t
36241LT55,f,f,f
3622AAHM9,t,f,t
3622A24C3,t,f,t
3622A2CE0,t,t,f
36225AUM0,t,t,f
3622AAYC2,f,f,f
36225BUC0,t,t,f
36225AB66,t,t,f
3622A2R95,t,t,f
36241K2W7,t,t,f
36225BYV4,t,t,f
36241LU95,f,t,f
3622A25Z1,t,t,f
3622A2PW6,f,f,t
36241KY77,t,t,f
36241LVZ6,f,t,f
3622ABA44,f,f,f
36241KFD5,t,t,f
36241LP59,t,t,f
36241LNH5,t,t,f
3622A2QE5,t,t,f
3622A2LU4,t,t,f
3622A3CA6,f,t,f
36225BNE4,t,t,f
3622A2UJ9,t,f,t
36241LVC7,t,f,t
3622AAM84,f,f,f
36241KMC9,t,t,f
36225AGW4,t,t,f
3622A2T44,t,t,f
3622A22P6,f,f,f
3622A2EK4,f,t,f
36241KHU5,t,f,t
36241K7M4,f,t,f
36225BQ68,t,t,f
36241LTC0,t,t,f
36225BCA4,t,t,f
3622AA2H6,f,f,f
36225BLG1,t,t,f
3622AADH4,f,f,f
36241KJD1,t,f,t
3622A2GN6,t,t,f
36225B5J3,t,f,t
36225BFC7,t,t,f
3622A2AS1,f,t,f
36225BLE6,t,t,f
3622AAVQ4,f,f,f
36225AZN3,t,f,t
36225ACS7,t,t,f
36241KTV0,t,t,f
3622AAGR9,f,f,f
36241KW87,f,t,f
36225BMQ8,t,t,f
3622A2P89,t,t,f
3622A2AT9,t,f,t
3622ABBD3,f,f,f
3622AABE3,t,t,f
3622AAV92,f,f,f
36241LZ41,t,t,f
36241L4D5,t,t,f
3622AAY73,f,t,f
36241LVA1,f,f,f
3622AA4D3,f,t,f
3622A2RT1,t,f,t
3622A2EW8,t,t,f
3622A2YS5,f,t,f
3622AADM3,t,t,f
3622A2WU2,t,f,t
3622A3CL2,f,f,t
36241KTM0,t,t,f
3622AAZ56,f,f,f
36225AMX5,t,t,f
36225BJH2,t,t,f
36241LHC3,t,t,f
36241LUK0,f,f,f
36225BV88,t,t,f
3622AAF33,t,t,f
3622AAT87,t,t,f
3622A2PK2,f,f,f
3622A2TH5,t,f,t
3622A2FE7,t,t,f
36241KDW5,t,f,t
3622AAY32,f,f,f
36225ANQ9,t,t,f
36241KRS9,t,f,t
3622A2WK4,t,t,f
3622AAHH0,t,f,t
3622A2H54,t,t,f
36225AXC9,t,t,f
36241KXY9,t,t,f
36225ALC2,t,t,f
36225BMH8,t,t,f
36225BBZ0,t,t,f
36241LDP8,t,t,f
