cusip,eligible
36241LGU4,f
3622A2AX0,f
36241LJN7,f
36241KVC9,t
3622AABW3,f
36241LPN0,t
36241LHT6,f
36225A3X6,t
36241KXM5,t
36225BYZ5,t
3622AAAQ7,t
3622A2QP0,f
36241LP34,f
36241LJK3,f
36241K2F4,t
36241KA65,t
36241KMM7,t
36241KRC4,t
3622AAD92,t
36241KQC5,t
36241K5Z7,f
3622A2LJ9,f
36241KEF1,t
3622AAVB7,f
3622AADG6,t
3622AAHZ0,t
36241KCK2,t
36225BUY2,t
36225B7K8,t
36225BV47,t
36241LS23,t
36241LGD2,f
36241LJS6,t
36241KQU5,t
36241LBV7,f
36241LG59,f
36225BGW2,t
36225BE95,t
36241KD62,t
36225A4A5,t
3622AAEB6,t
36241KL89,t
3622A2JX1,f
3622A2VQ2,f
36225BTU2,t
36225BLU0,t
36225A3V0,t
36241LKJ4,f
36241K2S6,t
3622A2X23,t
36225A4P2,t
36241KLZ9,t
3622A2RA2,t
36241LHL3,t
3622A2FK3,f
36241KC48,t
36241KDH8,t
3622A2MS8,f
36241KXJ2,t
36225B3Q9,t
36241KY51,t
36241KZR2,f
36225A4S6,t
36241LUF1,f
3622A2M41,t
3622AADY7,f
36241KHH4,t
36225BS90,t
36241K7C6,f
3622AAP81,t
36225BWX2,t
36241KHE1,t
36241LMZ6,f
36241KAP3,t
3622A2M66,t
36241KW46,t
3622A2TX0,t
36225BKC1,t
36241K5A2,f
3622A2KE1,f
36225BNQ7,t
36225B3J5,t
36241KYR3,t
36241LK62,t
36241LCB0,t
36241KU63,t
3622A2Z70,t
36241KB31,t
36225BN95,t
36241LRP3,f
3622AAJN5,t
36241LS98,f
3622A3BA7,t
36241LC53,f
36241K4S4,f
3622AAQ31,f
36241LLG9,f
36241L4B9,t
3622AAKP8,f
36241KYX0,t
36225BSM1,t
36241KD47,t
3622A24C3,t
3622A2J37,t
36241KYF9,t
3622AATB0,t
36225BUC0,t
36241K5X2,t
36241LJX5,f
3622A25Z1,t
3622AAGK4,t
36241LK21,f
3622AAD84,t
36241LNH5,t
3622A3CA6,t
36225B4C9,t
36225BF78,t
36225BJK5,t
3622A2UJ9,t
36225BNE4,t
36241LVC7,t
3622A2D33,t
36241LRC2,f
36241KMC9,t
3622A2T44,f
36241K7M4,f
36225BQ68,t
36225BCA4,t
36241LNK8,t
36225BLG1,t
3622A2QY1,f
3622AADH4,f
36225BG85,t
3622A2GN6,t
36241KZY7,t
36225BLE6,t
36241KP69,t
36225BYJ1,t
36225BVZ8,t
36241KW87,t
36225BMQ8,t
3622AABE3,t
3622AATC8,f
36241LZ41,t
36225BLZ9,t
36241L4D5,t
36241KY85,t
3622AAY73,f
3622AA4D3,t
3622A2EW8,t
3622AACG7,f
3622A2WU2,t
3622A3CL2,t
36241KTM0,t
36241L5B8,t
3622AAF33,t
36241LBL9,f
3622AAFS8,t
36241KDW5,t
36225B6N3,t
3622AAJF2,f
36241L7H3,f
36241KRS9,t
3622A2WK4,t
3622A2H54,f
36241KXY9,t
36241LQ25,f
3622AAKD5,f
36225BBZ0,t
36225BMH8,t
36225A5V8,t
3622A2DH2,t
36225A3U2,t
3622AAE42,f
36241KC71,t
36241KE95,t
36241LNY8,t
3622A2TY8,t
3622A2V74,f
36241K4D7,f
36241K4Z8,f
3622A2QC9,t
36241LHM1,t
3622AASS4,t
36241LGW0,t
3622A2A69,t
36241LYL4,t
36241LJ98,f
36225BQB7,t
36241KJK5,t
36225BPL6,t
36241L3G9,t
36241KVV7,f
3622A2BM3,t
36241KE79,t
36241K5F1,f
36225AZB9,t
36241KGL6,t
36241LFY7,f
3622A24D1,t
3622AAE34,t
36241KBK3,t
3622AAKZ6,f
3622A2K92,t
3622AAWZ3,t
36241LPY6,t
36225BSJ8,t
36225BVN5,t
36241LAB2,t
36225B7C6,t
3622A2CQ3,t
3622AA3A0,f
3622A2TW2,f
36241L5F9,f
36225BJB5,t
36225BVY1,t
3622A22X9,f
3622AASY1,t
36241KXA1,f
36241K3E6,t
36241LWK8,f
36241KQQ4,f
36225BMW5,t
36225BVM7,t
36225BU63,t
36241LCM6,t
36225AY79,t
3622A2UZ3,f
36241LMK9,t
36225B3A4,t
36241L4F0,t
36241LT89,t
36241LXD3,f
36225BUG1,t
36225BZ35,t
3622A2WC2,t
3622A2FR8,f
36241K7D4,t
36241KZC5,t
36241LB39,f
3622AAT46,f
36241LRH1,f
3622A2F64,t
36241KGC6,t
3622A2NC2,f
36241KXC7,t
36225AXM7,t
3622A3AT7,f
3622AARM8,t
3622A2DP4,f
36241KWW4,t
3622A23T7,t
36241KBB3,t
36225BG93,t
36225BKR8,t
36241LPB6,t
36241LSC1,t
3622AASU9,f
36225BHE1,t
36241L2P0,t
36241LXY7,t
36225BWZ7,t
36241LXC5,f
36241LHE9,t
36241KXW3,f
36241KBS6,t
36241KXZ6,t
36225AZP8,t
36225BEP9,t
36241KLS5,t
36225BHZ4,t
36241L4H6,f
36241L6L5,f
3622A2XR8,t
3622AAP99,t
3622AASX3,t
36241K5U8,f
36241LKQ8,t
36225BBJ6,t
36225BMM7,t
36241LDN3,f
3622A2ZH8,f
36225AZQ6,t
36241KF86,t
36225B2Q0,t
3622A2AC6,t
3622AAD50,t
3622A2BG6,t
